Artigo_Base,Artigo_Completo,Tipo_Pena,Descricao_Crime,Pena_Minima_Valor,Pena_Minima_Unidade,Pena_Maxima_Valor,Pena_Maxima_Unidade,Tipo_Penal_Estrutural,Tipo_Pena_Antigo
Art. 121,Art. 121,Outras Penas/N/A,Art. 121. Matar alguem:,72.0,mês,240.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 121,"Art. 121, V -",Outras Penas/N/A,"V - para assegurar a execução, a ocultação, a impunidade ou vantagem de outro crime:",144.0,mês,360.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 121,"N/A, X -",Outras Penas/N/A,"X - nas dependências de instituição de ensino:     (Incluído pela Lei nº 15.159, de 2025)",144.0,mês,360.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 121,"N/A, § 3",Outras Penas/N/A,"§ 3º Se o homicídio é culposo: (Vide Lei nº 4.611, de 1965)",12.0,mês,36.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 122,Art. 122,Outras Penas/N/A,"Art. 122. Induzir ou instigar alguém a suicidar-se ou a praticar automutilação ou prestar-lhe auxílio material para que o faça:   (Redação dada pela Lei nº 13.968, de 2019)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 122,art. 129,Outras Penas/N/A,"art. 129 deste Código:   (Incluído pela Lei nº 13.968, de 2019)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 122,"Art. 122, § 2",Outras Penas/N/A,"§ 2º Se o suicídio se consuma ou se da automutilação resulta morte:    (Incluído pela Lei nº 13.968, de 2019)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 123,Art. 123,Outras Penas/N/A,"Art. 123 - Matar, sob a influência do estado puerperal, o próprio filho, durante o parto ou logo após:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 124,Art. 124,Outras Penas/N/A,Art. 124 - Provocar aborto em si mesma ou consentir que outrem lho provoque:  (Vide ADPF 54),12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 125,Art. 125,Outras Penas/N/A,"Art. 125 - Provocar aborto, sem o consentimento da gestante:",36.0,mês,120.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 126,Art. 126,Outras Penas/N/A,Art. 126 - Provocar aborto com o consentimento da gestante:   (Vide ADPF 54),12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 129,Art. 129,Outras Penas/N/A,Art. 129. Ofender a integridade corporal ou a saúde de outrem:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 128,"Art. 128, IV -",Outras Penas/N/A,IV - aceleração de parto:,12.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 129,"Art. 129, V -",Outras Penas/N/A,V - aborto:,24.0,mês,96.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 129,"Art. 129, § 3",Outras Penas/N/A,"§ 3° Se resulta morte e as circunstâncias evidenciam que o agente não quís o resultado, nem assumiu o risco de produzí-lo:",48.0,mês,144.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 129,"N/A, § 6",Outras Penas/N/A,"§ 6° Se a lesão é culposa: (Vide Lei nº 4.611, de 1965)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 130,Art. 130,Outras Penas/N/A,"Art. 130 - Expor alguém, por meio de relações sexuais ou qualquer ato libidinoso, a contágio de moléstia venérea, de que sabe ou deve saber que está contaminado:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 130,"Art. 130, § 1",Outras Penas/N/A,§ 1º - Se é intenção do agente transmitir a moléstia:,12.0,mês,48.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 131,Art. 131,Outras Penas/N/A,"Art. 131 - Praticar, com o fim de transmitir a outrem moléstia grave de que está contaminado, ato capaz de produzir o contágio:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 132,Art. 132,Outras Penas/N/A,Art. 132 - Expor a vida ou a saúde de outrem a perigo direto e iminente:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 133,Art. 133,Outras Penas/N/A,"Art. 133 - Abandonar pessoa que está sob seu cuidado, guarda, vigilância ou autoridade, e, por qualquer motivo, incapaz de defender-se dos riscos resultantes do abandono:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 132,"Art. 132, § 1",Outras Penas/N/A,§ 1º - Se do abandono resulta lesão corporal de natureza grave:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 132,"Art. 132, § 2",Outras Penas/N/A,§ 2º - Se resulta a morte:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 134,Art. 134,Outras Penas/N/A,"Art. 134 - Expor ou abandonar recém-nascido, para ocultar desonra própria:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 134,"Art. 134, § 1",Outras Penas/N/A,§ 1º - Se do fato resulta lesão corporal de natureza grave:,12.0,mês,36.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 134,"Art. 134, § 2",Outras Penas/N/A,§ 2º - Se resulta a morte:,24.0,mês,72.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 136,"Art. 136, § 1",Outras Penas/N/A,§ 1º - Se do fato resulta lesão corporal de natureza grave:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 136,"Art. 136, § 2",Outras Penas/N/A,§ 2º - Se resulta a morte:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 137,Art. 137,Outras Penas/N/A,"Art. 137 - Participar de rixa, salvo para separar os contendores:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 138,Art. 138,Outras Penas/N/A,"Art. 138 - Caluniar alguém, imputando-lhe falsamente fato definido como crime:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 139,Art. 139,Outras Penas/N/A,"Art. 139 - Difamar alguém, imputando-lhe fato ofensivo à sua reputação:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 140,Art. 140,Outras Penas/N/A,"Art. 140 - Injuriar alguém, ofendendo-lhe a dignidade ou o decoro:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 139,"Art. 139, § 2",Outras Penas/N/A,"§ 2º - Se a injúria consiste em violência ou vias de fato, que, por sua natureza ou pelo meio empregado, se considerem aviltantes:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 140,"Art. 140, § 3",Outras Penas/N/A,"§ 3º Se a injúria consiste na utilização de elementos referentes a religião ou à condição de pessoa idosa ou com deficiência:        (Redação dada pela Lei nº 14.532, de 2023)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 147,Art. 147,Outras Penas/N/A,"Art. 147 - Ameaçar alguém, por palavra, escrito ou gesto, ou qualquer outro meio simbólico, de causar-lhe mal injusto e grave:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 148,Art. 148,Outras Penas/N/A,"Art. 148 - Privar alguém de sua liberdade, mediante seqüestro ou cárcere privado:         (Vide Lei nº 10.446, de 2002)",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 148,"Art. 148, § 2",Detenção,"§ 2º - Se resulta à vítima, em razão de maus-tratos ou da natureza da detenção, grave sofrimento físico ou moral:",24.0,mês,96.0,mês,Crime Qualificado/Autônomo,Detenção
Art. 149,"Art. 149, V -",Outras Penas/N/A,"V - exploração sexual.               (Incluído pela Lei nº 13.344, de 2016)          (Vigência)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 150,Art. 150,Outras Penas/N/A,"Art. 150 - Entrar ou permanecer, clandestina ou astuciosamente, ou contra a vontade expressa ou tácita de quem de direito, em casa alheia ou em suas dependências:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 150,"Art. 150, § 1",Outras Penas/N/A,"§ 1º - Se o crime é cometido durante a noite, ou em lugar ermo, ou com o emprego de violência ou de arma, ou por duas ou mais pessoas:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 151,Art. 151,Outras Penas/N/A,"Art. 151 - Devassar indevidamente o conteúdo de correspondência fechada, dirigida a outrem:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 154,Art. 154,Outras Penas/N/A,"Art. 154 - Revelar alguém, sem justa causa, segredo, de que tem ciência em razão de função, ministério, ofício ou profissão, e cuja revelação possa produzir dano a outrem:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 155,Art. 155,Outras Penas/N/A,"Art. 155 - Subtrair, para si ou para outrem, coisa alheia móvel:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 156,Art. 156,Outras Penas/N/A,"Art. 156 - Subtrair o condômino, co-herdeiro ou sócio, para si ou para outrem, a quem legitimamente a detém, a coisa comum:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 159,"Art. 159, § 2",Outras Penas/N/A,"§ 2º - Se do fato resulta lesão corporal de natureza grave:               Vide Lei nº 8.072, de 25.7.90",192.0,mês,288.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 160,Art. 160,Outras Penas/N/A,"Art. 160 - Exigir ou receber, como garantia de dívida, abusando da situação de alguém, documento que pode dar causa a procedimento criminal contra a vítima ou contra terceiro:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 161,Art. 161,Outras Penas/N/A,"Art. 161 - Suprimir ou deslocar tapume, marco, ou qualquer outro sinal indicativo de linha divisória, para apropriar-se, no todo ou em parte, de coisa imóvel alheia:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 162,Art. 162,Outras Penas/N/A,"Art. 162 - Suprimir ou alterar, indevidamente, em gado ou rebanho alheio, marca ou sinal indicativo de propriedade:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 163,Art. 163,Outras Penas/N/A,"Art. 163 - Destruir, inutilizar ou deteriorar coisa alheia:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 162,"Art. 162, IV -",Outras Penas/N/A,IV - por motivo egoístico ou com prejuízo considerável para a vítima:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 164,Art. 164,Outras Penas/N/A,"Art. 164 - Introduzir ou deixar animais em propriedade alheia, sem consentimento de quem de direito, desde que o fato resulte prejuízo:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 165,Art. 165,Outras Penas/N/A,"Art. 165 - Destruir, inutilizar ou deteriorar coisa tombada pela autoridade competente em virtude de valor artístico, arqueológico ou histórico:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 166,Art. 166,Outras Penas/N/A,"Art. 166 - Alterar, sem licença da autoridade competente, o aspecto de local especialmente protegido por lei:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 169,Art. 169,Outras Penas/N/A,"Art. 169 - Apropriar-se alguém de coisa alheia vinda ao seu poder por erro, caso fortuito ou força da natureza:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 171,Art. 171,Outras Penas/N/A,"Art. 171 - Obter, para si ou para outrem, vantagem ilícita, em prejuízo alheio, induzindo ou mantendo alguém em erro, mediante artifício, ardil, ou qualquer outro meio fraudulento:",12.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 173,"Art. 173, II -",Outras Penas/N/A,II - entregando uma mercadoria por outra:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 176,Art. 176,Outras Penas/N/A,"Art. 176 - Tomar refeição em restaurante, alojar-se em hotel ou utilizar-se de meio de transporte sem dispor de recursos para efetuar o pagamento:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 178,Art. 178,Outras Penas/N/A,"Art. 178 - Emitir conhecimento de depósito ou warrant, em desacordo com disposição legal:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 179,Art. 179,Outras Penas/N/A,"Art. 179 - Fraudar execução, alienando, desviando, destruindo ou danificando bens, ou simulando dívidas:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 192,"Art. 192, I -",Outras Penas/N/A,"I - a exercer ou não exercer arte, ofício, profissão ou indústria, ou a trabalhar ou não trabalhar durante certo período ou em determinados dias:",,,,,Crime Base (Caput),Pena Privativa de Liberdade (Tipo Indefinido)
Art. 203,Art. 203,Outras Penas/N/A,"Art. 203 - Frustrar, mediante fraude ou violência, direito assegurado pela legislação do trabalho:",12.0,mês,24.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 204,Art. 204,Outras Penas/N/A,"Art. 204 - Frustrar, mediante fraude ou violência, obrigação legal relativa à nacionalização do trabalho:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 206,Art. 206,Outras Penas/N/A,"Art. 206 - Recrutar trabalhadores, mediante fraude, com o fim de levá-los para território estrangeiro. (Redação dada pela Lei nº 8.683, de 1993)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 207,Art. 207,Outras Penas/N/A,"Art. 207 - Aliciar trabalhadores, com o fim de levá-los de uma para outra localidade do território nacional:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 211,Art. 211,Outras Penas/N/A,"Art. 211 - Destruir, subtrair ou ocultar cadáver ou parte dele:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 212,Art. 212,Outras Penas/N/A,Art. 212 - Vilipendiar cadáver ou suas cinzas:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 211,"Art. 211, § 1",Outras Penas/N/A,"§ 1o  Se da conduta resulta lesão corporal de natureza grave ou se a vítima é menor de 18 (dezoito) ou maior de 14 (catorze) anos:           (Incluído pela Lei nº 12.015, de 2009)",,,,,Crime Qualificado/Autônomo,Pena Privativa de Liberdade (Tipo Indefinido)
Art. 212,"Art. 212, § 2",Outras Penas/N/A,"§ 2o  Se da conduta resulta morte:             (Incluído pela Lei nº 12.015, de 2009)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 215,Art. 215,Outras Penas/N/A,"Art. 215-A. Praticar contra alguém e sem a sua anuência ato libidinoso com o objetivo de satisfazer a própria lascívia ou a de terceiro:  (Incluído pela Lei nº 13.718, de 2018)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 217,Art. 217,Outras Penas/N/A,"Art. 217-A.  Ter conjunção carnal ou praticar outro ato libidinoso com menor de 14 (catorze) anos:               (Incluído pela Lei nº 12.015, de 2009)",,,,,Crime Base (Caput),Pena Privativa de Liberdade (Tipo Indefinido)
Art. 217,"Art. 217, § 3",Outras Penas/N/A,"§ 3o  Se da conduta resulta lesão corporal de natureza grave:            (Incluído pela Lei nº 12.015, de 2009)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 217,"Art. 217, § 4",Outras Penas/N/A,"§ 4o  Se da conduta resulta morte:              (Incluído pela Lei nº 12.015, de 2009)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 218,Art. 218,Outras Penas/N/A,"Art. 218.  Induzir alguém menor de 14 (catorze) anos a satisfazer a lascívia de outrem:           (Redação dada pela Lei nº 12.015, de 2009)",,,,,Crime Base (Caput),Pena Privativa de Liberdade (Tipo Indefinido)
Art. 218,i-,Outras Penas/N/A,"i-lo a presenciar, conjunção carnal ou outro ato libidinoso, a fim de satisfazer lascívia própria ou de outrem:          (Incluído pela Lei nº 12.015, de 2009)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 227,Art. 227,Outras Penas/N/A,Art. 227 - Induzir alguém a satisfazer a lascívia de outrem:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 227,"Art. 227, § 2",Outras Penas/N/A,"§ 2º - Se o crime é cometido com emprego de violência, grave ameaça ou fraude:",24.0,mês,96.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 228,"Art. 228, § 2",Outras Penas/N/A,"§ 2º - Se o crime, é cometido com emprego de violência, grave ameaça ou fraude:",48.0,mês,120.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 230,Art. 230,Outras Penas/N/A,"Art. 230 - Tirar proveito da prostituição alheia, participando diretamente de seus lucros ou fazendo-se sustentar, no todo ou em parte, por quem a exerça:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 233,Art. 233,Outras Penas/N/A,"Art. 233 - Praticar ato obsceno em lugar público, ou aberto ou exposto ao público:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 235,Art. 235,Outras Penas/N/A,"Art. 235 - Contrair alguém, sendo casado, novo casamento:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 236,Art. 236,Outras Penas/N/A,"Art. 236 - Contrair casamento, induzindo em erro essencial o outro contraente, ou ocultando-lhe impedimento que não seja casamento anterior:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 237,Art. 237,Outras Penas/N/A,"Art. 237 - Contrair casamento, conhecendo a existência de impedimento que lhe cause a nulidade absoluta:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 238,Art. 238,Outras Penas/N/A,Art. 238 - Atribuir-se falsamente autoridade para celebração de casamento:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 239,Art. 239,Outras Penas/N/A,Art. 239 - Simular casamento mediante engano de outra pessoa:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 241,Art. 241,Outras Penas/N/A,Art. 241 - Promover no registro civil a inscrição de nascimento inexistente:,24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 240,"Art. 240, Parágrafo único",Outras Penas/N/A,"Parágrafo único - Se o crime é praticado por motivo de reconhecida nobreza: (Redação dada pela Lei nº 6.898, de 1981)",12.0,mês,24.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 246,Art. 246,Outras Penas/N/A,"Art. 246 - Deixar, sem justa causa, de prover à instrução primária de filho em idade escolar:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 246,"Art. 246, IV -",Outras Penas/N/A,IV - mendigue ou sirva a mendigo para excitar a comiseração pública:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 249,Art. 249,Outras Penas/N/A,Art. 249 - Subtrair menor de dezoito anos ou interdito ao poder de quem o tem sob sua guarda em virtude de lei ou de ordem judicial:,,,,,Crime Base (Caput),Pena Privativa de Liberdade (Tipo Indefinido)
Art. 250,Art. 250,Outras Penas/N/A,"Art. 250 - Causar incêndio, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:",36.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 251,"Art. 251, § 1",Outras Penas/N/A,§ 1º - Se a substância utilizada não é dinamite ou explosivo de efeitos análogos:,12.0,mês,48.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 252,Art. 252,Outras Penas/N/A,"Art. 252 - Expor a perigo a vida, a integridade física ou o patrimônio de outrem, usando de gás tóxico ou asfixiante:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
