Artigo_Base,Artigo_Completo,Tipo_Pena,Descricao_Crime,Pena_Minima_Valor,Pena_Minima_Unidade,Pena_Maxima_Valor,Pena_Maxima_Unidade,Tipo_Penal_Estrutural,Tipo_Pena_Antigo
Art. 252,"Art. 252, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 253,Art. 253,Outras Penas/N/A,"Art. 253 - Fabricar, fornecer, adquirir, possuir ou transportar, sem licença da autoridade, substância ou engenho explosivo, gás tóxico ou asfixiante, ou material destinado à sua fabricação:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 254,Art. 254,Outras Penas/N/A,"Art. 254 - Causar inundação, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:",36.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 256,Art. 256,Outras Penas/N/A,"Art. 256 - Causar desabamento ou desmoronamento, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 254,"Art. 254, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 259,Art. 259,Outras Penas/N/A,"Art. 259 - Difundir doença ou praga que possa causar dano a floresta, plantação ou animais de utilidade econômica:",24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 259,"Art. 259, IV -",Outras Penas/N/A,IV - praticando outro ato de que possa resultar desastre:,24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 260,"Art. 260, § 1",Outras Penas/N/A,§ 1º - Se do fato resulta desastre:,48.0,mês,144.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 260,"Art. 260, § 2",Outras Penas/N/A,"§ 2º - No caso de culpa, ocorrendo desastre:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 261,Art. 261,Outras Penas/N/A,"Art. 261 - Expor a perigo embarcação ou aeronave, própria ou alheia, ou praticar qualquer ato tendente a impedir ou dificultar navegação marítima, fluvial ou aérea:",24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 261,"Art. 261, § 1",Outras Penas/N/A,"§ 1º - Se do fato resulta naufrágio, submersão ou encalhe de embarcação ou a queda ou destruição de aeronave:",48.0,mês,144.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 261,"Art. 261, § 3",Outras Penas/N/A,"§ 3º - No caso de culpa, se ocorre o sinistro:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 262,Art. 262,Outras Penas/N/A,"Art. 262 - Expor a perigo outro meio de transporte público, impedir-lhe ou dificultar-lhe o funcionamento:",12.0,mês,24.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 262,"Art. 262, § 2",Outras Penas/N/A,"§ 2º - No caso de culpa, se ocorre desastre:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 264,Art. 264,Outras Penas/N/A,"Art. 264 - Arremessar projétil contra veículo, em movimento, destinado ao transporte público por terra, por água ou pelo ar:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 265,Art. 265,Outras Penas/N/A,"Art. 265 - Atentar contra a segurança ou o funcionamento de serviço de água, luz, força ou calor, ou qualquer outro de utilidade pública:",12.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 266,Art. 266,Outras Penas/N/A,"Art. 266 - Interromper ou perturbar serviço telegráfico, radiotelegráfico ou telefônico, impedir ou dificultar-lhe o restabelecimento:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 267,Art. 267,Outras Penas/N/A,"Art. 267 - Causar epidemia, mediante a propagação de germes patogênicos:",120.0,mês,180.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 268,Art. 268,Outras Penas/N/A,"Art. 268 - Infringir determinação do poder público, destinada a impedir introdução ou propagação de doença contagiosa:",,,,,Causa de Aumento/Diminuição de Pena,Causa de Aumento/Diminuição de Pena
Art. 270,Art. 270,Outras Penas/N/A,"Art. 270 - Envenenar água potável, de uso comum ou particular, ou substância alimentícia ou medicinal destinada a consumo:",120.0,mês,180.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 269,"Art. 269, § 2",Outras Penas/N/A,§ 2º - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 271,Art. 271,Outras Penas/N/A,"Art. 271 - Corromper ou poluir água potável, de uso comum ou particular, tornando-a imprópria para consumo ou nociva à saúde:",24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 270,"Art. 270, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 272,"Art. 272, § 2",Outras Penas/N/A,"§ 2º - Se o crime é culposo: (Redação dada pela Lei nº 9.677, de 2.7.1998)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 273,Art. 273,Outras Penas/N/A,"Art. 273 - Falsificar, corromper, adulterar ou alterar produto destinado a fins terapêuticos ou medicinais: (Redação dada pela Lei nº 9.677, de 2.7.1998)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 273,"N/A, § 2",Outras Penas/N/A,§ 2º - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 276,Art. 276,Outras Penas/N/A,"Art. 276 - Vender, expor à venda, ter em depósito para vender ou, de qualquer forma, entregar a consumo produto nas condições dos arts. 274 e 275.",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 277,"Art. 277, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 280,Art. 280,Outras Penas/N/A,Art. 280 - Fornecer substância medicinal em desacordo com receita médica:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 278,"Art. 278, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 282,Art. 282,Outras Penas/N/A,"Art. 282 - Exercer, ainda que a título gratuito, a profissão de médico, dentista ou farmacêutico, sem autorização legal ou excedendo-lhe os limites:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 283,Art. 283,Outras Penas/N/A,Art. 283 - Inculcar ou anunciar cura por meio secreto ou infalível:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 281,"Art. 281, III -",Outras Penas/N/A,III - fazendo diagnósticos:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 286,Art. 286,Outras Penas/N/A,"Art. 286 - Incitar, publicamente, a prática de crime:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 287,Art. 287,Outras Penas/N/A,"Art. 287 - Fazer, publicamente, apologia de fato criminoso ou de autor de crime:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 288,Art. 288,Outras Penas/N/A,"Art. 288.  Associarem-se 3 (três) ou mais pessoas, para o fim específico de cometer crimes:     (Redação dada pela Lei nº 12.850, de 2013)     (Vigência)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 289,Art. 289,Outras Penas/N/A,"Art. 289 - Falsificar, fabricando-a ou alterando-a, moeda metálica ou papel-moeda de curso legal no país ou no estrangeiro:",36.0,mês,144.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 293,"Art. 293, VI -",Outras Penas/N/A,"VI - bilhete, passe ou conhecimento de empresa de transporte administrada pela União, por Estado ou por Município:",24.0,mês,96.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 294,Art. 294,Outras Penas/N/A,"Art. 294 - Fabricar, adquirir, fornecer, possuir ou guardar objeto especialmente destinado à falsificação de qualquer dos papéis referidos no artigo anterior:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 294,"Art. 294, II -",Outras Penas/N/A,"II - selo ou sinal atribuído por lei a entidade de direito público, ou a autoridade, ou sinal público de tabelião:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 297,Art. 297,Outras Penas/N/A,"Art. 297 - Falsificar, no todo ou em parte, documento público, ou alterar documento público verdadeiro:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 298,Art. 298,Outras Penas/N/A,"Art. 298 - Falsificar, no todo ou em parte, documento particular ou alterar documento particular verdadeiro:",12.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 300,Art. 300,Outras Penas/N/A,"Art. 300 - Reconhecer, como verdadeira, no exercício de função pública, firma ou letra que o não seja:",12.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 302,Art. 302,Outras Penas/N/A,"Art. 302 - Dar o médico, no exercício da sua profissão, atestado falso:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 304,Art. 304,Outras Penas/N/A,"Art. 304 - Fazer uso de qualquer dos papéis falsificados ou alterados, a que se referem os arts. 297 a 302:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 307,Art. 307,Outras Penas/N/A,"Art. 307 - Atribuir-se ou atribuir a terceiro falsa identidade para obter vantagem, em proveito próprio ou alheio, ou para causar dano a outrem:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 309,Art. 309,Outras Penas/N/A,"Art. 309 - Usar o estrangeiro, para entrar ou permanecer no território nacional, nome que não é o seu:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 307,"Art. 307, Parágrafo único",Outras Penas/N/A,"Parágrafo único - Atribuir a estrangeiro falsa qualidade para promover-lhe a entrada em território nacional: (Incluído pela Lei nº 9.426, de 1996)",12.0,mês,48.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 311,"Art. 311, IV -",Outras Penas/N/A,IV - exame ou processo seletivo previstos em lei:    (Incluído pela Lei 12.550. de 2011),,,,,Crime Base (Caput),Crime Base (Caput)
Art. 311,"Art. 311, § 2",Outras Penas/N/A,§ 2o  Se da ação ou omissão resulta dano à administração pública:    (Incluído pela Lei 12.550. de 2011),,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 312,"Art. 312, § 2",Outras Penas/N/A,§ 2º - Se o funcionário concorre culposamente para o crime de outrem:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 313,Art. 313,Outras Penas/N/A,"Art. 313 - Apropriar-se de dinheiro ou qualquer utilidade que, no exercício do cargo, recebeu por erro de outrem:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 314,Art. 314,Outras Penas/N/A,"Art. 314 - Extraviar livro oficial ou qualquer documento, de que tem a guarda em razão do cargo; sonegá-lo ou inutilizá-lo, total ou parcialmente:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 315,Art. 315,Outras Penas/N/A,Art. 315 - Dar às verbas ou rendas públicas aplicação diversa da estabelecida em lei:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 315,"Art. 315, § 2",Outras Penas/N/A,"§ 2º - Se o funcionário desvia, em proveito próprio ou de outrem, o que recebeu indevidamente para recolher aos cofres públicos:",24.0,mês,144.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 317,"Art. 317, § 2",Outras Penas/N/A,"§ 2º - Se o funcionário pratica, deixa de praticar ou retarda ato de ofício, com infração de dever funcional, cedendo a pedido ou influência de outrem:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 317,art. 334,Outras Penas/N/A,art. 334):,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 321,Art. 321,Outras Penas/N/A,"Art. 321 - Patrocinar, direta ou indiretamente, interesse privado perante a administração pública, valendo-se da qualidade de funcionário:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 319,"Art. 319, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o interesse é ilegítimo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 322,Art. 322,Outras Penas/N/A,"Art. 322 - Praticar violência, no exercício de função ou a pretexto de exercê-la:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 323,Art. 323,Outras Penas/N/A,"Art. 323 - Abandonar cargo público, fora dos casos permitidos em lei:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 321,"Art. 321, § 1",Outras Penas/N/A,§ 1º - Se do fato resulta prejuízo público:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 321,"Art. 321, § 2",Outras Penas/N/A,§ 2º - Se o fato ocorre em lugar compreendido na faixa de fronteira:,12.0,mês,36.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 325,Art. 325,Outras Penas/N/A,"Art. 325 - Revelar fato de que tem ciência em razão do cargo e que deva permanecer em segredo, ou facilitar-lhe a revelação:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 326,Art. 326,Outras Penas/N/A,"Art. 326 - Devassar o sigilo de proposta de concorrência pública, ou proporcionar a terceiro o ensejo de devassá-lo:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 328,Art. 328,Outras Penas/N/A,Art. 328 - Usurpar o exercício de função pública:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 328,"Art. 328, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se do fato o agente aufere vantagem:,24.0,mês,60.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 329,Art. 329,Outras Penas/N/A,"Art. 329 - Opor-se à execução de ato legal, mediante violência ou ameaça a funcionário competente para executá-lo ou a quem lhe esteja prestando auxílio:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 328,"Art. 328, § 1",Outras Penas/N/A,"§ 1º - Se o ato, em razão da resistência, não se executa:",12.0,mês,36.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 330,Art. 330,Outras Penas/N/A,Art. 330 - Desobedecer a ordem legal de funcionário público:,0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 331,Art. 331,Outras Penas/N/A,Art. 331 - Desacatar funcionário público no exercício da função ou em razão dela:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 334,Art. 334,Outras Penas/N/A,"Art. 334.  Iludir, no todo ou em parte, o pagamento de direito ou imposto devido pela entrada, pela saída ou pelo consumo de mercadoria (Redação dada pela Lei nº 13.008, de 26.6.2014)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 337,Art. 337,Outras Penas/N/A,"Art. 337-E. Admitir, possibilitar ou dar causa à contratação direta fora das hipóteses previstas em lei:       (Incluído pela Lei nº 14.133, de 2021)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 337,"Art. 337, V -",Outras Penas/N/A,"V - qualquer meio fraudulento que torne injustamente mais onerosa para a Administração Pública a proposta ou a execução do contrato:       (Incluído pela Lei nº 14.133, de 2021)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 337,"Art. 337, § 1",Outras Penas/N/A,"§ 1º Celebrar contrato com empresa ou profissional declarado inidôneo:        (Incluído pela Lei nº 14.133, de 2021)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 338,Art. 338,Outras Penas/N/A,Art. 338 - Reingressar no território nacional o estrangeiro que dele foi expulso:,12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 340,Art. 340,Outras Penas/N/A,"Art. 340 - Provocar a ação de autoridade, comunicando-lhe a ocorrência de crime ou de contravenção que sabe não se ter verificado:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 341,Art. 341,Outras Penas/N/A,"Art. 341 - Acusar-se, perante a autoridade, de crime inexistente ou praticado por outrem:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 345,Art. 345,Outras Penas/N/A,"Art. 345 - Fazer justiça pelas próprias mãos, para satisfazer pretensão, embora legítima, salvo quando a lei o permite:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 346,Art. 346,Outras Penas/N/A,"Art. 346 - Tirar, suprimir, destruir ou danificar coisa própria, que se acha em poder de terceiro por determinação judicial ou convenção:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 347,Art. 347,Outras Penas/N/A,"Art. 347 - Inovar artificiosamente, na pendência de processo civil ou administrativo, o estado de lugar, de coisa ou de pessoa, com o fim de induzir a erro o juiz ou o perito:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 348,Art. 348,Reclusão,Art. 348 - Auxiliar a subtrair-se à ação de autoridade pública autor de crime a que é cominada pena de reclusão:,,,,,Crime Base (Caput),Reclusão
Art. 346,"Art. 346, § 1",Reclusão,§ 1º - Se ao crime não é cominada pena de reclusão:,0.5,mês,0.5,mês,Crime Qualificado/Autônomo,Reclusão
Art. 349,Art. 349,Outras Penas/N/A,"Art. 349 - Prestar a criminoso, fora dos casos de co-autoria ou de receptação, auxílio destinado a tornar seguro o proveito do crime:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 351,Art. 351,Outras Penas/N/A,Art. 351 - Promover ou facilitar a fuga de pessoa legalmente presa ou submetida a medida de segurança detentiva:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 352,Art. 352,Outras Penas/N/A,"Art. 352 - Evadir-se ou tentar evadir-se o preso ou o indivíduo submetido a medida de segurança detentiva, usando de violência contra a pessoa:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 353,Art. 353,Outras Penas/N/A,"Art. 353 - Arrebatar preso, a fim de maltratá-lo, do poder de quem o tenha sob custódia ou guarda:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 354,Art. 354,Outras Penas/N/A,"Art. 354 - Amotinarem-se presos, perturbando a ordem ou disciplina da prisão:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 355,Art. 355,Outras Penas/N/A,"Art. 355 - Trair, na qualidade de advogado ou procurador, o dever profissional, prejudicando interesse, cujo patrocínio, em juízo, lhe é confiado:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 356,Art. 356,Outras Penas/N/A,"Art. 356 - Inutilizar, total ou parcialmente, ou deixar de restituir autos, documento ou objeto de valor probatório, que recebeu na qualidade de advogado ou procurador:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 358,Art. 358,Outras Penas/N/A,"Art. 358 - Impedir, perturbar ou fraudar arrematação judicial; afastar ou procurar afastar concorrente ou licitante, por meio de violência, grave ameaça, fraude ou oferecimento de vantagem:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 359,Art. 359,Outras Penas/N/A,"Art. 359 - Exercer função, atividade, direito, autoridade ou múnus, de que foi suspenso ou privado por decisão judicial:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 359,"Art. 359, § 2",Outras Penas/N/A,"§ 2º Se o documento, dado ou informação é transmitido ou revelado com violação do dever de sigilo:         (Incluído pela Lei nº 14.197, de 2021)        (Vigência)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
